189631	542437	669191	679602	416171	915891	516827	629673	882384	825674
585930	14012	693807	91183	194859	253138	785286	440558	609392	313593	
680934	265748	543958	400535	866478	146847	131964	66075	242853	15741	
793264	679970	975422	195738	23784	894458	41867	270953	520248	230837	
57633	88803	384951	524240	649622	907635	255289	26940	714331	184502	
657230	461932	216742	997298	553559	709855	575040	753307	96167	189578	
403565	191642	470728	250721	283819	818759	568632	368324	304451	37518	
809597	9102	757145	411253	154512	795610	910150	176512	352019	419433	
619287	391398	30598	419806	814388	20624	598055	949226	24616	752841	
190090	977556	931877	73403	564528	67755	121127	595250	795120	248227	
847814	768959	59486	225551	129612	112943	625132	845809	12233	444098	
341029	816763	304990	53820	566003	734753	125546	136006	833478	822942	
143143	752360	476169	203515	642014	591068	182191	663166	259567	951765	
642738	211330	763070	497644	913694	312184	514926	306033	891891	421449	
333128	218122	266698	844046	595474	652574	993986	357548	144729	202758	
673875	951545	792689	173617	388338	723696	999542	931876	117529	355913	
647453	868335	353279	949692	289992	381038	462295	108777	996834	849137	
857651	6022	393745	524916	259155	974428	432528	454847	204796	448247	
778550	501598	737365	608266	505118	266215	92215	624909	996634	652127	
112205	629075	514709	261709	309002	349158	299598	263606	64477	794407	
151581	86720	406888	421819	281853	121431	889501	498995	825306	877852	
95626	734049	19226	538291	401076	61080	247329	928983	153489	99847	
73666	589083	664752	704479	794788	514746	536021	16583	523038	989117	
71130	740213	596989	187568	991425	214144	148440	742661	665285	471738	
765351	157137	548122	737976	495452	906847	292265	69178	621836	245167	
484426	493520	322379	978077	63910	115363	741748	480970	443941	58991	
894315	694452	543156	432657	912656	935750	249340	183522	181308	195663	
308371	662070	895226	739988	896774	214188	557076	162757	141680	771104	
830787	156654	714741	292681	248988	409281	619725	436303	221912	708283	
946407	445060	521982	791648	574376	271661	653732	892346	606008	910612	
636487	442933	244789	569516	13357	638135	330973	808356	310598	50804	
789773	329113	622214	930180	279807	945756	243803	84674	371629	425139	
830572	117476	263201	756192	267137	316320	659166	129738	696751	696253	
103284	961069	138553	965473	222267	867308	965608	339999	890397	758066	
424456	386080	783512	123630	681991	194009	191791	587130	412069	704862	
398576	740047	290317	786541	299758	153586	301810	142716	548166	343417	
597105	32993	971554	419228	708341	584810	9598	970193	354302	101059	
650810	882217	64981	411384	448965	517602	666026	976640	868729	177172	
622395	203910	859107	576142	360490	226512	690349	609888	701292	873984	
491029	633659	50001	951668	572232	323303	662055	709301	735586	944170	
885133	837643	843275	886275	310865	257019	118375	644077	642845	834172	
86545	835218	143631	591854	403712	880614	821554	725690	633038	433959	
912984	408989	166504	161059	401436	254907	162821	290955	258876	908954	
